Entity_A,Entity_B,Type,Score
ALDH3F1,PANC,protein-protein,0.921
ALDH3F1,ALDH2B4,protein-protein,0.936
ALDH3F1,ALDH7B4,protein-protein,0.94
ALDH3F1,AGT2,protein-protein,0.952
PPC3,AGT2,protein-protein,0.426
PPC3,DELTA-OAT,protein-protein,0.444
PPC3,AK3,protein-protein,0.465
PPC3,GLT1,protein-protein,0.516
PPC3,L2HGDH,protein-protein,0.692
PPC3,PPC1,protein-protein,0.905
AIH,GAD4,protein-protein,0.451
AIH,NAGK,protein-protein,0.571
AIH,DELTA-OAT,protein-protein,0.701
AIH,PYD3,protein-protein,0.789
PYD3,OXP1,protein-protein,0.583
PYD3,GAD4,protein-protein,0.904
PYD3,ALDH3I1,protein-protein,0.92
PYD3,AGT2,protein-protein,0.926
PYD3,PANC,protein-protein,0.932
PYD3,ALDH7B4,protein-protein,0.946
PYD3,ALDH2B4,protein-protein,0.95
SDH2-2,L2HGDH,protein-protein,0.503
SDH2-2,ALDH2B4,protein-protein,0.528
SDH2-2,ALDH10A8,protein-protein,0.528
SDH2-2,ALDH7B4,protein-protein,0.528
SDH2-2,ALDH3I1,protein-protein,0.528
SDH2-2,ALDH5F1,protein-protein,0.528
SDH2-2,FUM2,protein-protein,0.993
SDH2-2,SDH1-2,protein-protein,0.999
ALDH3I1,L2HGDH,protein-protein,0.409
ALDH3I1,DELTA-OAT,protein-protein,0.489
ALDH3I1,HACL,protein-protein,0.579
ALDH3I1,SDH1-2,protein-protein,0.655
ALDH3I1,FUM2,protein-protein,0.695
ALDH3I1,GAD4,protein-protein,0.734
ALDH3I1,GLT1,protein-protein,0.833
ALDH3I1,PANC,protein-protein,0.913
ALDH3I1,ALDH2B4,protein-protein,0.941
ALDH3I1,ALDH7B4,protein-protein,0.946
ALDH3I1,AGT2,protein-protein,0.952
AGT2,PPC1,protein-protein,0.426
AGT2,LKR/SDH,protein-protein,0.458
AGT2,GAD4,protein-protein,0.493
AGT2,NAGK,protein-protein,0.495
AGT2,ALDH5F1,protein-protein,0.546
AGT2,ALDH10A8,protein-protein,0.547
AGT2,AK3,protein-protein,0.63
AGT2,FUM2,protein-protein,0.653
AGT2,L2HGDH,protein-protein,0.653
AGT2,GLYR1,protein-protein,0.671
AGT2,AKHSDH1,protein-protein,0.916
AGT2,ALDH2B4,protein-protein,0.952
AGT2,ALDH7B4,protein-protein,0.955
RPT6B,L2HGDH,protein-protein,0.657
RPT6B,RPT6A,protein-protein,0.903
RPT6A,L2HGDH,protein-protein,0.657
OVA3,GAD4,protein-protein,0.814
OVA3,GLT1,protein-protein,0.836
FUM2,HACL,protein-protein,0.421
FUM2,ALDH5F1,protein-protein,0.55
FUM2,ALDH7B4,protein-protein,0.55
FUM2,DELTA-OAT,protein-protein,0.554
FUM2,ALDH2B4,protein-protein,0.561
FUM2,ALDH10A8,protein-protein,0.561
FUM2,ASN3,protein-protein,0.583
FUM2,L2HGDH,protein-protein,0.798
FUM2,SDH1-2,protein-protein,0.992
OXP1,GAD4,protein-protein,0.809
OXP1,GLT1,protein-protein,0.821
OXP1,GGT3,protein-protein,0.98
PANC,ALDH7B4,protein-protein,0.908
PANC,ALDH2B4,protein-protein,0.908
PANC,GAD4,protein-protein,0.939
DELTA-OAT,PPC1,protein-protein,0.444
DELTA-OAT,GLYR1,protein-protein,0.447
DELTA-OAT,GAD4,protein-protein,0.477
DELTA-OAT,L2HGDH,protein-protein,0.5
DELTA-OAT,ALDH2B4,protein-protein,0.579
DELTA-OAT,AK3,protein-protein,0.601
DELTA-OAT,LKR/SDH,protein-protein,0.607
DELTA-OAT,ALDH5F1,protein-protein,0.636
DELTA-OAT,ASN3,protein-protein,0.68
DELTA-OAT,AKHSDH1,protein-protein,0.71
DELTA-OAT,ALDH10A8,protein-protein,0.725
DELTA-OAT,ALDH7B4,protein-protein,0.761
DELTA-OAT,NAGK,protein-protein,0.968
L2HGDH,ALDH2B4,protein-protein,0.407
L2HGDH,ALDH10A8,protein-protein,0.407
L2HGDH,ALDH7B4,protein-protein,0.407
L2HGDH,ALDH5F1,protein-protein,0.407
L2HGDH,HACL,protein-protein,0.45
L2HGDH,SDH1-2,protein-protein,0.651
L2HGDH,PPC1,protein-protein,0.692
L2HGDH,GAD4,protein-protein,0.806
L2HGDH,GLT1,protein-protein,0.848
HACL,ASN3,protein-protein,0.407
HACL,LKR/SDH,protein-protein,0.438
HACL,GAD4,protein-protein,0.468
HACL,AK3,protein-protein,0.517
HACL,AKHSDH1,protein-protein,0.52
HACL,ALDH10A8,protein-protein,0.579
HACL,ALDH5F1,protein-protein,0.579
HACL,ALDH7B4,protein-protein,0.612
HACL,ALDH2B4,protein-protein,0.694
ASN3,NAGK,protein-protein,0.417
ASN3,GLT1,protein-protein,0.768
ASN3,GAD4,protein-protein,0.873
ASN3,AKHSDH1,protein-protein,0.878
ASN3,AK3,protein-protein,0.902
GLYR1,LKR/SDH,protein-protein,0.468
GLYR1,GAD4,protein-protein,0.719
GLYR1,ALDH5F1,protein-protein,0.971
GLT1,ALDH7B4,protein-protein,0.833
GLT1,ALDH2B4,protein-protein,0.833
