Entity_A,Entity_B,Type,Score
DHAR3,GSTU17,protein-protein,0.813
DHAR3,GGT3,protein-protein,0.9
GSTF12,GSTU8,protein-protein,0.426
GSTF12,GSTU7,protein-protein,0.441
GSTF12,GSTL3,protein-protein,0.443
GSTF12,GSTU17,protein-protein,0.556
GSTF12,GGT3,protein-protein,0.689
GSTF12,DHAR2,protein-protein,0.782
OXP1,GSTL3,protein-protein,0.412
OXP1,GSTU18,protein-protein,0.548
DHAR2,GSTF13,protein-protein,0.651
DHAR2,GSTL3,protein-protein,0.739
DHAR2,GSTU9,protein-protein,0.769
DHAR2,GSTU18,protein-protein,0.81
DHAR2,GSTU8,protein-protein,0.837
DHAR2,GSTT1,protein-protein,0.868
DHAR2,GSTU17,protein-protein,0.879
DHAR2,GGT3,protein-protein,0.9
DHAR2,GSTU7,protein-protein,0.938
GSTU17,GSTT1,protein-protein,0.639
GSTU17,GGT3,protein-protein,0.684
GSTU17,GSTF13,protein-protein,0.708
GSTU17,GSTL3,protein-protein,0.737
GSTU18,GSTT1,protein-protein,0.497
GSTU18,GGT3,protein-protein,0.684
GSTU9,GSTT1,protein-protein,0.419
GSTU9,GGT3,protein-protein,0.684
GSTL3,GSTF13,protein-protein,0.688
GSTL3,GGT3,protein-protein,0.802
GSTL3,GSTT1,protein-protein,0.852
GSTF13,GSTU7,protein-protein,0.497
GSTF13,GSTU8,protein-protein,0.579
GSTF13,GGT3,protein-protein,0.689
GGT3,GSTU8,protein-protein,0.684
GGT3,GSTU7,protein-protein,0.684
GGT3,GSTT1,protein-protein,0.689
GSTU8,GSTT1,protein-protein,0.696
GSTT1,GSTU7,protein-protein,0.797
PGL1,BGLU6,protein-protein,0.552
BGLU6,UGT85A5,protein-protein,0.543
TPP1,TPPA,protein-protein,0.443
TPP1,BGLU40,protein-protein,0.54
SPHK1,BGLU40,protein-protein,0.469
FLCY,MNS2,protein-protein,0.485
FLCY,BGLU44,protein-protein,0.544
BGLU44,PER17,protein-protein,0.552
PURU2,PGLP2,protein-protein,0.417
PGDH2,PGLP2,protein-protein,0.577
SHM4,PGLP2,protein-protein,0.457
PGDH1,PGLP2,protein-protein,0.594
AGT1,PGLP2,protein-protein,0.575
SHM7,PGLP2,protein-protein,0.425
SHM7,PHF1,protein-protein,0.493
PGLP2,SHM3,protein-protein,0.464
PGLP2,PSAT1,protein-protein,0.479
PGLP2,PGDH3,protein-protein,0.651
PGLP2,HPR,protein-protein,0.958
SHM4,PGLP1B,protein-protein,0.412
SHM4,RPT2A,protein-protein,0.426
PGLP1B,SHM3,protein-protein,0.41
PGLP1B,PSAT1,protein-protein,0.443
ALDH3I1,THFS,protein-protein,0.494
LYSA1,RPT2A,protein-protein,0.672
LYSA2,RPT2A,protein-protein,0.662
EMB2761,TS1,protein-protein,0.489
PURU2,ZEU1,protein-protein,0.53
THRRS,TS1,protein-protein,0.428
THRRS,SHM3,protein-protein,0.437
THRRS,LYSA2,protein-protein,0.468
THRRS,LYSA1,protein-protein,0.475
THRRS,AK2,protein-protein,0.55
THRRS,AK3,protein-protein,0.551
THRRS,OVA4,protein-protein,0.871
UMK3,SHM3,protein-protein,0.406
UMK3,PUR2,protein-protein,0.701
UMK3,ZEU1,protein-protein,0.724
UMK3,PYRE-F,protein-protein,0.972
PUR7,ZEU1,protein-protein,0.421
PUR2,ZEU1,protein-protein,0.442
PUR3,ZEU1,protein-protein,0.53
PUR3,GLYK,protein-protein,0.547
ZEU1,SHM3,protein-protein,0.408
ZEU1,AGT1,protein-protein,0.446
ZEU1,THFS,protein-protein,0.484
ALDH3F1,GLYK,protein-protein,0.901
PGLP2,GLYK,protein-protein,0.54
GLYK,ALDH7B4,protein-protein,0.9
IREG2,AHA2,protein-protein,0.436
IREG2,BGLU42,protein-protein,0.513
IREG2,ABCG37,protein-protein,0.654
IREG2,S8H,protein-protein,0.805
AHA2,S8H,protein-protein,0.55
AHA2,BGLU42,protein-protein,0.598
AHA2,ABCG37,protein-protein,0.778
MTK,BGLU42,protein-protein,0.544
BGLU42,S8H,protein-protein,0.799
BGLU42,ABCG37,protein-protein,0.825
S8H,ABCG37,protein-protein,0.807
NIT4,DAAT,protein-protein,0.403
NIT4,TAA1,protein-protein,0.431
NIT4,PAT1,protein-protein,0.482
NIT4,NUDT23,protein-protein,0.492
NIT4,NUDT19,protein-protein,0.492
NIT4,ASB1,protein-protein,0.546
ASB1,BCAT5,protein-protein,0.525
ASB1,DAAT,protein-protein,0.525
ASB1,AMI1,protein-protein,0.621
ASB1,TAA1,protein-protein,0.822
AMI1,TAA1,protein-protein,0.793
ACS,ACS5,protein-protein,0.603
ACS,ACS7,protein-protein,0.774
ACS,ACS2,protein-protein,0.808
PGDH2,RPL17B,protein-protein,0.43
PGDH2,RPL27,protein-protein,0.459
PGDH2,RPL28,protein-protein,0.526
RPL5,MENB,protein-protein,0.49
RPL5,ACO3,protein-protein,0.645
RPL5,ACO1,protein-protein,0.645
NTRC,RPS20A,protein-protein,0.452
RPL28,atpA,protein-protein,0.468
RPL28,FH,protein-protein,0.763
RPL6,MENB,protein-protein,0.433
RPL6,ACO1,protein-protein,0.596
RPL6,ACO3,protein-protein,0.596
RPL6,FSD2,protein-protein,0.652
RPL6,FSD3,protein-protein,0.652
RPL6,atpA,protein-protein,0.684
EIN3,ACO3,protein-protein,0.401
EIN3,ERS1,protein-protein,0.929
RPL4,ACO3,protein-protein,0.434
RPL4,ACO1,protein-protein,0.434
RPL4,MENB,protein-protein,0.441
RPL4,atpA,protein-protein,0.597
RPL4,FH,protein-protein,0.623
RPL4,FSD2,protein-protein,0.661
RPS16-1,atpA,protein-protein,0.44
RPS16-1,petC,protein-protein,0.447
RPS16-1,FH,protein-protein,0.574
RPS16-1,FSD2,protein-protein,0.649
RPS16-1,FSD3,protein-protein,0.651
RPS16-1,RPS15AE,protein-protein,0.85
RPS16-1,RPS15AA,protein-protein,0.86
RPS16-1,RPL16,protein-protein,0.873
RPS16-1,RPS2B,protein-protein,0.916
RPS16-1,SCY1,protein-protein,0.922
RPS16-1,rps5,protein-protein,0.929
RPS16-1,RPS9C,protein-protein,0.93
RPS16-1,RPS17,protein-protein,0.931
RPS16-1,RPS18A,protein-protein,0.936
RPS16-1,RPS13,protein-protein,0.945
RPS16-1,RPS7,protein-protein,0.95
RPS16-1,TUFA,protein-protein,0.975
RPS16-1,RPS29A,protein-protein,0.979
RPS16-1,RPS10-2,protein-protein,0.982
ASK14,ACO1,protein-protein,0.438
ASK14,ACO3,protein-protein,0.438
RPS17,ACO1,protein-protein,0.433
RPS17,ACO3,protein-protein,0.433
RPS17,atpA,protein-protein,0.548
RPS17,FSD2,protein-protein,0.669
RPS17,RPS9M,protein-protein,0.975
ARP1,FH,protein-protein,0.423
ARP1,ACO3,protein-protein,0.513
ARP1,ACO1,protein-protein,0.513
ARP1,FSD2,protein-protein,0.574
ARP1,FSD3,protein-protein,0.583
ARP1,atpA,protein-protein,0.631
TUFA,RPS9M,protein-protein,0.971
ARP2,FH,protein-protein,0.423
ARP2,ACO3,protein-protein,0.513
ARP2,ACO1,protein-protein,0.513
ARP2,FSD3,protein-protein,0.574
ARP2,FSD2,protein-protein,0.574
ARP2,atpA,protein-protein,0.631
RPL15,ACO3,protein-protein,0.458
RPL15,ACO1,protein-protein,0.458
RPL15,MENB,protein-protein,0.465
RPL15,FH,protein-protein,0.592
RPL15,FSD3,protein-protein,0.711
RPL15,FSD2,protein-protein,0.728
RPS18A,FSD2,protein-protein,0.482
RPS18A,RPS9M,protein-protein,0.96
RPS13,FSD2,protein-protein,0.504
RPS13,RPS9M,protein-protein,0.958
RPS15AA,ACO1,protein-protein,0.496
RPS15AA,ACO3,protein-protein,0.541
RPS15AA,atpA,protein-protein,0.557
RPS15AA,ENO3,protein-protein,0.653
RPS15AA,RPS9M,protein-protein,0.896
RPS20A,ENO3,protein-protein,0.525
RPS20A,FSD2,protein-protein,0.604
RPS20A,atpA,protein-protein,0.645
RPL27AC,ACO3,protein-protein,0.458
RPL27AC,ACO1,protein-protein,0.458
RPL27AC,ENO3,protein-protein,0.522
RPL27AC,atpA,protein-protein,0.531
RPL27AC,FSD2,protein-protein,0.581
RPL27AC,FSD3,protein-protein,0.588
RPL23A,FSD2,protein-protein,0.474
RPL23A,FSD3,protein-protein,0.474
RPL17B,FSD2,protein-protein,0.448
RPL17B,FSD3,protein-protein,0.461
atpA,PER7,protein-protein,0.525
atpA,HLP,protein-protein,0.551
atpA,RPS15AE,protein-protein,0.557
atpA,RPL17,protein-protein,0.577
atpA,SCY1,protein-protein,0.597
atpA,RPS2B,protein-protein,0.597
atpA,RPL3B,protein-protein,0.65
atpA,RPS29A,protein-protein,0.694
atpA,RPS12,protein-protein,0.889
atpA,RPL16,protein-protein,0.916
atpA,rps14,protein-protein,0.947
rps14,ENO3,protein-protein,0.507
rps14,ACO3,protein-protein,0.531
rps14,ACO1,protein-protein,0.531
rps14,FSD2,protein-protein,0.691
RPS12,ACO3,protein-protein,0.433
RPS12,ACO1,protein-protein,0.433
RPS12,ENO3,protein-protein,0.436
RPS12,FSD2,protein-protein,0.564
RPS7,ENO3,protein-protein,0.409
RPS7,ICDH,protein-protein,0.419
RPS7,FSD2,protein-protein,0.454
RPS7,ACO3,protein-protein,0.479
RPS7,ACO1,protein-protein,0.479
RPS7,RPS9M,protein-protein,0.996
rps5,MENB,protein-protein,0.46
rps5,ACO1,protein-protein,0.488
rps5,ACO3,protein-protein,0.488
rps5,FSD2,protein-protein,0.519
rps5,RPS9M,protein-protein,0.976
FUM1,ACS2,protein-protein,0.412
FUM1,ACS5,protein-protein,0.412
FUM1,ACS7,protein-protein,0.412
ACS2,FUM2,protein-protein,0.412
ACS2,ERS1,protein-protein,0.552
ACS2,ETR2,protein-protein,0.706
ACS2,ACO3,protein-protein,0.799
ETR2,ACO3,protein-protein,0.474
ETR2,ERS1,protein-protein,0.66
ETR2,ACS5,protein-protein,0.758
ETR2,ACS7,protein-protein,0.76
ETR2,ACO1,protein-protein,0.813
ACS5,FUM2,protein-protein,0.412
ACS5,ACO3,protein-protein,0.588
ACS5,ERS1,protein-protein,0.74
ERS1,ACS7,protein-protein,0.719
SCY1,MENB,protein-protein,0.41
SCY1,ACO3,protein-protein,0.488
SCY1,ACO1,protein-protein,0.488
SCY1,FSD2,protein-protein,0.498
SCY1,RPS9M,protein-protein,0.95
ACO1,RPL16,protein-protein,0.416
ACO1,RPL13AC,protein-protein,0.428
ACO1,RPL13,protein-protein,0.428
ACO1,RPL13AD,protein-protein,0.431
ACO1,SKP1B,protein-protein,0.438
ACO1,PER7,protein-protein,0.458
ACO1,HLP,protein-protein,0.467
ACO1,RPS2B,protein-protein,0.488
ACO1,RPS15AE,protein-protein,0.493
ACO1,RPL3B,protein-protein,0.513
ACO1,RPS9C,protein-protein,0.516
ACO1,RPS29A,protein-protein,0.531
ACO1,RPS10-2,protein-protein,0.549
RPS29A,ENO3,protein-protein,0.507
RPS29A,ACO3,protein-protein,0.531
RPS29A,FSD2,protein-protein,0.571
RPS29A,RPS9M,protein-protein,0.987
MENB,FSD2,protein-protein,0.411
MENB,FSD3,protein-protein,0.424
MENB,RPL13,protein-protein,0.493
MENB,RPS10-2,protein-protein,0.503
RPS9M,UCR1-2,protein-protein,0.409
RPS9M,petC,protein-protein,0.409
RPS9M,UCR1-1,protein-protein,0.414
RPS9M,FH,protein-protein,0.643
RPS9M,RPS2B,protein-protein,0.95
RPS9M,RPS9C,protein-protein,0.965
RPS9M,RPS15AE,protein-protein,0.977
RPS9M,RPL16,protein-protein,0.985
RPS9M,RPS10-2,protein-protein,0.988
B'GAMMA,ACO3,protein-protein,0.839
RPS2B,FSD2,protein-protein,0.477
RPS2B,ACO3,protein-protein,0.488
RPS2B,ENO3,protein-protein,0.529
HLP,ENO3,protein-protein,0.452
HLP,ACO3,protein-protein,0.467
HLP,FSD2,protein-protein,0.469
HLP,FSD3,protein-protein,0.473
UCR1-1,RPL13,protein-protein,0.43
UCR1-1,RPL13AC,protein-protein,0.433
UCR1-1,RPL13AD,protein-protein,0.456
RPL16,ACO3,protein-protein,0.416
RPL16,FSD2,protein-protein,0.571
RPL16,FSD3,protein-protein,0.571
HISN8,FSD2,protein-protein,0.404
SKP1B,ACO3,protein-protein,0.438
FUM2,ACS7,protein-protein,0.412
RPL13AD,ACO3,protein-protein,0.428
RPL13AD,UCR1-2,protein-protein,0.43
RPL13AD,ENO3,protein-protein,0.554
RPL13AD,FSD2,protein-protein,0.608
RPL13AD,FSD3,protein-protein,0.614
RPS9C,ACO3,protein-protein,0.516
RPS9C,FSD2,protein-protein,0.547
RPS9C,ENO3,protein-protein,0.725
RPL27,FH,protein-protein,0.623
RPL27,FSD2,protein-protein,0.699
RPL27,FSD3,protein-protein,0.711
FSD3,RPL13AC,protein-protein,0.634
FSD3,PER7,protein-protein,0.687
FSD3,RPL17,protein-protein,0.714
FSD3,RPL3B,protein-protein,0.735
FSD3,RPL13,protein-protein,0.779
RPS10-2,ACO3,protein-protein,0.549
RPS10-2,FSD2,protein-protein,0.625
RPL3B,ACO3,protein-protein,0.513
RPL3B,FH,protein-protein,0.643
RPL3B,FSD2,protein-protein,0.734
FSD2,RPL13AC,protein-protein,0.642
FSD2,PER7,protein-protein,0.687
FSD2,RPL17,protein-protein,0.715
FSD2,RPL13,protein-protein,0.761
UCR1-2,RPL13AC,protein-protein,0.43
UCR1-2,RPL13,protein-protein,0.43
RPS15AE,ACO3,protein-protein,0.493
RPS15AE,ENO3,protein-protein,0.504
RPL17,FH,protein-protein,0.574
ACO3,RPL13,protein-protein,0.428
ACO3,RPL13AC,protein-protein,0.43
ACO3,THFS,protein-protein,0.451
ACO3,PER7,protein-protein,0.458
ACO3,ACS7,protein-protein,0.533
RPL13AC,ENO3,protein-protein,0.554
PER7,ENO3,protein-protein,0.521
PER7,FH,protein-protein,0.592
RPL13,FH,protein-protein,0.638
RTE1,MKK9,protein-protein,0.4
RTE1,ACO1,protein-protein,0.579
RTE1,EBF2,protein-protein,0.671
RTE1,EBF1,protein-protein,0.772
RTE1,EIN3,protein-protein,0.792
RTE1,EIN2,protein-protein,0.795
RTE1,ETR2,protein-protein,0.979
RTE1,ERS1,protein-protein,0.984
EIN3,ASB1,protein-protein,0.542
EIN3,MKK9,protein-protein,0.795
ASK14,EBF2,protein-protein,0.453
ASK14,EBF1,protein-protein,0.589
ADH1,MYC2,protein-protein,0.407
ADH1,LOX6,protein-protein,0.647
TUFA,NPR1,protein-protein,0.577
TUFA,MPK3,protein-protein,0.808
RPS15AA,ENO1,protein-protein,0.521
RPS20A,ENO1,protein-protein,0.536
RPL27AC,ENO1,protein-protein,0.54
rps14,ENO1,protein-protein,0.507
RPS12,ENO1,protein-protein,0.436
RPS7,ENO1,protein-protein,0.409
NPR1,ETR2,protein-protein,0.406
NPR1,EBF1,protein-protein,0.564
NPR1,MPK3,protein-protein,0.819
FUM1,ACS1,protein-protein,0.412
SUS2,AUX1,protein-protein,0.541
ACS2,EBF1,protein-protein,0.509
ACS2,EBF2,protein-protein,0.585
ACS2,MKK9,protein-protein,0.599
ACS2,MPK3,protein-protein,0.978
ACS1,EBF2,protein-protein,0.41
ACS1,FUM2,protein-protein,0.412
ACS1,ETR2,protein-protein,0.431
ACS1,ERS1,protein-protein,0.444
ACS1,ACO1,protein-protein,0.587
ACS1,MPK3,protein-protein,0.912
ETR2,MKK9,protein-protein,0.505
ACS5,EBF2,protein-protein,0.48
ACS5,EBF1,protein-protein,0.639
ERS1,MKK9,protein-protein,0.436
ERS1,MPK3,protein-protein,0.471
ERS1,MYC2,protein-protein,0.513
ERS1,AUX1,protein-protein,0.558
ERS1,EBF2,protein-protein,0.84
ERS1,EBF1,protein-protein,0.867
ERS1,EIN2,protein-protein,0.952
MPK3,ACO1,protein-protein,0.4
MPK3,ACS7,protein-protein,0.501
MPK3,APX3,protein-protein,0.529
MPK3,MKK9,protein-protein,0.97
GA3OX1,AMY3,protein-protein,0.406
GA3OX1,AMY2,protein-protein,0.408
MYC2,MKK9,protein-protein,0.557
ACO1,MKK9,protein-protein,0.4
ACO1,AMY2,protein-protein,0.404
ACO1,ABCB25,protein-protein,0.419
ACO1,AMY3,protein-protein,0.428
ACO1,ASB1,protein-protein,0.454
ACO1,MTK,protein-protein,0.625
ACO1,EBF2,protein-protein,0.695
ACO1,EBF1,protein-protein,0.788
APX3,MENB,protein-protein,0.45
APX3,LOX6,protein-protein,0.581
ASB1,EIN2,protein-protein,0.541
ASB1,AUX1,protein-protein,0.758
RPS29A,ENO1,protein-protein,0.507
EBF2,ACS7,protein-protein,0.42
EBF2,SKP1B,protein-protein,0.609
AMY2,GAI,protein-protein,0.585
RPS2B,ENO1,protein-protein,0.529
HLP,ENO1,protein-protein,0.452
AMY3,GAI,protein-protein,0.56
AUX1,LOX6,protein-protein,0.514
AUX1,SUS6,protein-protein,0.54
ENO1,RPS15AE,protein-protein,0.503
ENO1,PER7,protein-protein,0.551
ENO1,RPL13AC,protein-protein,0.554
ENO1,RPL13AD,protein-protein,0.564
ENO1,RPS9C,protein-protein,0.725
LOX6,ACS7,protein-protein,0.434
ZEP,FUM2,protein-protein,0.409
ZEP,HSP70-4,protein-protein,0.483
SKP1B,EBF1,protein-protein,0.856
SDH,ABCB25,protein-protein,0.513
MKK9,EBF1,protein-protein,0.607
MKK9,EIN2,protein-protein,0.662
EBF1,ACS7,protein-protein,0.592
GPX2,PAO2,protein-protein,0.427
GPX2,SPDSYN1,protein-protein,0.447
GPX2,PAO3,protein-protein,0.46
GPX1,SPDSYN1,protein-protein,0.423
GPX1,PAO2,protein-protein,0.43
GPX1,PAO3,protein-protein,0.46
RPL24,SPDSYN1,protein-protein,0.575
ACS2,SAMDC4,protein-protein,0.804
ACS2,MTN1,protein-protein,0.907
ACS1,SAMDC4,protein-protein,0.788
ACS1,MTN1,protein-protein,0.9
ACS5,SAMDC4,protein-protein,0.713
ACS5,MTN1,protein-protein,0.909
SAMDC4,ACS7,protein-protein,0.76
GPX8,SPDSYN1,protein-protein,0.448
GPX8,PAO2,protein-protein,0.526
GPX8,PAO3,protein-protein,0.534
MTK,MTN1,protein-protein,0.989
PAO3,PECT1,protein-protein,0.422
PAO2,PECT1,protein-protein,0.43
ACS7,MTN1,protein-protein,0.909
MTN1,SPDSYN1,protein-protein,0.919
SPDSYN1,PECT1,protein-protein,0.477
DMT1,ACS2,protein-protein,0.65
DMT1,ACS1,protein-protein,0.65
DMT1,ACS5,protein-protein,0.658
DMT1,ACS7,protein-protein,0.672
DMT1,SAMDC1,protein-protein,0.731
UBC7,SAMDC1,protein-protein,0.4
SAMDC1,ADK,protein-protein,0.72
PLR1,NFS2,protein-protein,0.61
LPD2,ADT1,protein-protein,0.569
SBP1,MGL,protein-protein,0.8
SYNO,HMT-2,protein-protein,0.409
STR1,HMT-2,protein-protein,0.619
STR1,SOX,protein-protein,0.963
GDCST,ADT1,protein-protein,0.507
MTHFR2,MTK,protein-protein,0.486
AKHSDH2,MTK,protein-protein,0.439
STR2,HMT-2,protein-protein,0.555
STR2,SOX,protein-protein,0.932
ACS5,HMT-2,protein-protein,0.453
AHL,SOX,protein-protein,0.457
AHL,HMT-2,protein-protein,0.5
LPPG,HMT-2,protein-protein,0.519
FHY,HMT-2,protein-protein,0.448
RFS1,HMT-2,protein-protein,0.443
RFS6,HMT-2,protein-protein,0.441
RPN2,HMT-2,protein-protein,0.425
ISPH,MTK,protein-protein,0.486
ABA3,MGL,protein-protein,0.424
ABA3,HMT-2,protein-protein,0.512
MTK,AKHSDH1,protein-protein,0.439
MTK,HMT-2,protein-protein,0.804
MTK,ISS1,protein-protein,0.813
ISS1,HMT-2,protein-protein,0.918
ISS1,MGL,protein-protein,0.932
DHAD,ADT1,protein-protein,0.466
HMT-2,SYNC1,protein-protein,0.4
HMT-2,SYNC2,protein-protein,0.421
HMT-2,SOX,protein-protein,0.445
HMT-2,ADT1,protein-protein,0.512
HMT-2,ACS7,protein-protein,0.539
HMT-2,MTN1,protein-protein,0.704
TS1,SYNC2,protein-protein,0.407
TS1,SYNC1,protein-protein,0.412
PGDH2,RPL9,protein-protein,0.413
PGDH2,APK1,protein-protein,0.414
PGDH2,QCR6-1,protein-protein,0.74
RPL28,PGDH1,protein-protein,0.526
RPL28,PGDH3,protein-protein,0.558
PGDH1,APK1,protein-protein,0.404
PGDH1,RPL9,protein-protein,0.414
PGDH1,RPL17B,protein-protein,0.458
PGDH1,RPL27,protein-protein,0.459
GLO5,PGLP2,protein-protein,0.956
RPL9,PGDH3,protein-protein,0.459
IGPS,HACL,protein-protein,0.422
RPL17B,PGDH3,protein-protein,0.43
RPL17B,PKP2,protein-protein,0.598
EMB1144,RPL27,protein-protein,0.478
STR2,MCCB,protein-protein,0.503
SAT3,APK3,protein-protein,0.618
SAT3,APK1,protein-protein,0.722
APK1,PGDH3,protein-protein,0.402
ALDH3H1,GLYK,protein-protein,0.9
RPL27,PGDH3,protein-protein,0.506
PGDH1,UPP,protein-protein,0.4
PGDH1,UKL2,protein-protein,0.412
PGDH1,PER7,protein-protein,0.437
PYRB,UKL2,protein-protein,0.767
PYRB,UPP,protein-protein,0.829
PKP2,PER7,protein-protein,0.508
PGDH3,UPP,protein-protein,0.415
EIN3,MEKK1,protein-protein,0.442
EIN3,OXI1,protein-protein,0.57
DMT1,SAMDC4,protein-protein,0.677
NPR1,MKS1,protein-protein,0.429
NPR1,MEKK1,protein-protein,0.493
NPR1,MKK5,protein-protein,0.543
HPD,ACS1,protein-protein,0.545
ACS2,MEKK1,protein-protein,0.412
ACS2,TYRAAT2,protein-protein,0.45
ACS2,OXI1,protein-protein,0.479
ACS2,MKS1,protein-protein,0.491
ACS2,MKK5,protein-protein,0.554
ACS1,TYRAAT2,protein-protein,0.45
MEKK1,MKK9,protein-protein,0.552
MEKK1,MPK3,protein-protein,0.705
MEKK1,MKS1,protein-protein,0.773
MEKK1,MKK5,protein-protein,0.964
MPK3,MKS1,protein-protein,0.894
MPK3,MKK5,protein-protein,0.967
MKS1,OXI1,protein-protein,0.433
MKS1,MKK9,protein-protein,0.517
MKS1,MKK5,protein-protein,0.763
MKK5,MKK9,protein-protein,0.444
ACS1,ALDH3F1,protein-protein,0.429
NIFS1,SOX,protein-protein,0.468
NIFS1,ABA3,protein-protein,0.694
NIFS1,LCD,protein-protein,0.741
NIFS1,STR1,protein-protein,0.971
NIFS1,STR2,protein-protein,0.971
GSH1,SOX,protein-protein,0.494
APX3,LCD,protein-protein,0.496
ABA3,LCD,protein-protein,0.572
PLDDELTA,LCD,protein-protein,0.543
FDC2,LCD,protein-protein,0.404
LCD,SOX,protein-protein,0.417
LCD,FH,protein-protein,0.753
SUVH5,NRPD2,protein-protein,0.458
SUVH5,NRPD1,protein-protein,0.817
SUVH5,NRPE1,protein-protein,0.826
DMT1,MCM7,protein-protein,0.448
DMT1,SDC,protein-protein,0.54
DMT1,NRPD2,protein-protein,0.727
DMT1,DRD1,protein-protein,0.784
SDC,SUVH4,protein-protein,0.4
SDC,NRPE1,protein-protein,0.497
SDC,NRPD1,protein-protein,0.738
SUVH4,NRPD2,protein-protein,0.766
NRPD2,SUVH9,protein-protein,0.58
NRPD1,DRD1,protein-protein,0.947
DRD1,SUVH9,protein-protein,0.904
IBR3,MTK,protein-protein,0.666
NRPA2,THO2,protein-protein,0.453
NRPA2,GSH1,protein-protein,0.541
Y14,SAP130B,protein-protein,0.404
Y14,ESP3,protein-protein,0.428
Y14,ATO,protein-protein,0.481
Y14,RID1,protein-protein,0.484
Y14,GSH1,protein-protein,0.591
Y14,ERDJ2A,protein-protein,0.627
Y14,PRP8A,protein-protein,0.777
Y14,THO2,protein-protein,0.798
Y14,RH56,protein-protein,0.978
THO2,STA1,protein-protein,0.464
THO2,GSH1,protein-protein,0.498
THO2,SMD3B,protein-protein,0.55
THO2,SMD1B,protein-protein,0.555
THO2,ERDJ2A,protein-protein,0.591
THO2,SAP130B,protein-protein,0.622
THO2,RID1,protein-protein,0.689
THO2,PRP8A,protein-protein,0.717
THO2,ATO,protein-protein,0.717
THO2,UPF3,protein-protein,0.781
THO2,ESP3,protein-protein,0.952
THO2,RH56,protein-protein,0.983
THO2,ABH1,protein-protein,0.994
RID1,FIB1,protein-protein,0.409
RID1,GSH1,protein-protein,0.419
RID1,NOP5-1,protein-protein,0.42
RID1,PRP38,protein-protein,0.442
RID1,ERDJ2A,protein-protein,0.501
RID1,NOP5-2,protein-protein,0.521
RID1,RECG,protein-protein,0.532
RID1,ABH1,protein-protein,0.54
RID1,PWP2,protein-protein,0.605
RID1,UPF3,protein-protein,0.634
RID1,ATO,protein-protein,0.638
RID1,HEN2,protein-protein,0.646
RID1,SMD1B,protein-protein,0.696
RID1,SMD3B,protein-protein,0.703
RID1,RH56,protein-protein,0.73
RID1,SWA1,protein-protein,0.731
RID1,PRP8A,protein-protein,0.792
RID1,SAP130B,protein-protein,0.833
RECG,GSH1,protein-protein,0.443
RECG,ESP3,protein-protein,0.479
NOP5-1,ESP3,protein-protein,0.41
NOP5-1,RH56,protein-protein,0.518
NOP5-1,GSH1,protein-protein,0.545
NOP5-1,SCE1,protein-protein,0.721
SWA1,GSH1,protein-protein,0.415
SWA1,ATO,protein-protein,0.565
SWA1,ESP3,protein-protein,0.63
SAP130B,GSH1,protein-protein,0.433
SAP130B,RH56,protein-protein,0.562
SAP130B,PRP38,protein-protein,0.713
SAP130B,YLS8,protein-protein,0.77
SAP130B,ERDJ2A,protein-protein,0.797
SAP130B,ESP3,protein-protein,0.813
SAP130B,PRP40C,protein-protein,0.884
SAP130B,LSM2,protein-protein,0.893
SAP130B,ABH1,protein-protein,0.941
SAP130B,PRP8A,protein-protein,0.949
SAP130B,SMD1B,protein-protein,0.963
SAP130B,STA1,protein-protein,0.963
SAP130B,SMD3B,protein-protein,0.969
SAP130B,ATO,protein-protein,0.978
ARP1,RH56,protein-protein,0.44
ARP1,GSH1,protein-protein,0.44
ARP1,ABH1,protein-protein,0.465
ARP2,RH56,protein-protein,0.44
ARP2,GSH1,protein-protein,0.44
ARP2,ABH1,protein-protein,0.447
GSH1,ERDJ2A,protein-protein,0.401
GSH1,RPL24,protein-protein,0.408
GSH1,LSM1B,protein-protein,0.409
GSH1,SMD3B,protein-protein,0.418
GSH1,RH56,protein-protein,0.422
GSH1,SMD1B,protein-protein,0.43
GSH1,RPL7A,protein-protein,0.433
GSH1,RPL7B,protein-protein,0.439
GSH1,PWP2,protein-protein,0.442
GSH1,HAG1,protein-protein,0.447
GSH1,ESP3,protein-protein,0.449
GSH1,PRP38,protein-protein,0.45
GSH1,YLS8,protein-protein,0.451
GSH1,LSG1-2,protein-protein,0.454
GSH1,ATO,protein-protein,0.456
GSH1,FIB2,protein-protein,0.457
GSH1,FIB1,protein-protein,0.457
GSH1,LSM2,protein-protein,0.469
GSH1,RPL3B,protein-protein,0.473
GSH1,PRP8A,protein-protein,0.474
GSH1,SCE1,protein-protein,0.478
GSH1,ABH1,protein-protein,0.493
GSH1,NRPE1,protein-protein,0.509
GSH1,NRPA1,protein-protein,0.512
GSH1,NOP5-2,protein-protein,0.545
GSH1,PRP40C,protein-protein,0.547
GSH1,ABCG36,protein-protein,0.59
GSH1,NUG2,protein-protein,0.591
GSH1,NTR2,protein-protein,0.592
GSH1,HEN2,protein-protein,0.596
GSH1,STA1,protein-protein,0.635
GSH1,APK1,protein-protein,0.649
GSH1,UPF3,protein-protein,0.65
GSH1,NSN1,protein-protein,0.655
GSH1,ABCB25,protein-protein,0.724
GSH2,ABCB25,protein-protein,0.401
GSH2,ABCG36,protein-protein,0.462
GSH2,APK1,protein-protein,0.573
GSH2,APX3,protein-protein,0.599
